#name;;key;;snippet
SI;;SI;;\SI{${1:(num)}}{${2:(unit)}} $0
si-small;;si;;\si{$1} $0
double-dash;;--;;\item \SI{${1:(num)}}{${2:\oz}} $0
dash-of;;adash;;a~\si{\dash} $0
dashes-of;;dashes;;${1:(num)}~\si{\dashes} $0
spritz;;spritz;;a~\si{\spritz} $0
rinse;;rinse;;a~\si{\rinse} $0
#
Inline-Cocktail;;inline;;\InlineCocktail{${1:(name)}} $0
Inline-Cocktail*;;inline*;;\InlineCocktail*{${1:(name)}} $0
Book-Title;;book;;\BookTitle{${1:(title)}} $0
#
stir;;stir;;Stir ingredients with ice, $0
stir-except;;stex;;Stir ingredients except ${1:<ingredient>} with ice, $0
shake;;shake;;Shake ingredients with ice, $0
shake-except;;shex;;Shake ingredients except ${1:<ingredient>} with ice, $0
dry-shake;;dshake;;Dry shake ingredients, then shake with ice, $0
dry-shake-except;;dshex;;Dry shake ingredients except ${1:<ingredient>}, then shake with ice, $0
#
strain-coupe;;strc;;strain into a coupe
strain-rinsed-coupe;;strcr;;strain into a ${1:(rinse)}-rinsed coupe
strain-Collins;;strco;;strain into an ice-filled Collins glass
strain-Collins-no-ice;;strconi;;strain into a Collins glass
strain-old-fashioned;;stro;;strain into an old fashioned glass
strain-rinsed-old-fashioned;;stror;;strain into a ${1:(rinse)}-rinsed old fashiond glass
strain-ice-filled-old-fashioned;;strio;;strain into an ice-filled old fashioned glass
strain-single-cube-old-fashioned;;strIo;;strain into an old fashioned glass with a single large ice cube
strain-flute;;strf;;strain into a champagne flute
#
top-soda;;tops;;top with \soda
top-champagne;;topc;;top with champagne
#
garnish-with;;gnw;;garnish with $0
garnish-lemon-twist;;gnlet;;garnish with a lemon twist.
garnish-orange-twist;;gnot;;garnish with an orange twist.
garnish-grapefruit-twist;;gngt;;garnish with a grapefruit twist.
garnish-thick-orange-twist;;gntot;;garnish with a thick orange twist.
garnish-cherry;;gnch;;garnish with a cherry.
garnish-lemon-wheel;;gnlew;;garnish with a lemon wheel.
garnish-lime-wheel;;gnliw;;garnish with a lime wheel.
garnish-orange-wheel;;gnow;;garniwh with an orange wheel.
garnish-grapefruit-wheel;;gngfw;;garnish with a grapefruit wheel.
garnish-mint-sprig;;gnms;;garnish with a sprig of mint.
garnish-lemon-slice;;gnles;;garnish with a lemon slice.
garnish-lime-slice;;gnlis;;garnish with a lime slice.
#
old-fashioned-glass;;ofg;;old fashioned glass
rocks-glass;;rocks;;old fashioned glass
benedictine;;benedictine;;B\\'en\\'edictine
benedictine-short;;bene;;B\\'en\\'edictine
angostura;;angostura;;Angostura bitters
angostura-short;;ango;;Angostura bitters
angostura-orange;;angor;;Angostura orange bitters
peychauds;;peychauds;;Peychaud's bitters
peychauds-short;;pey;;Peychaud's bitters
orange-bitters;;orbit;;orange bitters
Regans-orange-bitters;;rorbit;;Regan's orange bitters
Fee-Bros-orange-bitters;;forbit;;Fee Brother's orange bitters
curacao;;curacao;;cura\c cao
cacacha;;cachaca;;cacha\c ca
orange-juice;;oj;;orange juice
lemon-juice;;lej;;lemon juice
lime-juice;;lij;;lime juice
grapefruit-juice;;gfj;;grapefruit juice
simple-syrup;;ss;;simple syrup
egg-white;;ew;;1~egg white
